compounds	name	maxFlux
cpd00027	D-Glucose	10
cpd00159	L-Lactate	10
cpd00029	Acetate	5
cpd00067	H+	1000
cpd00001	H2O	1000
cpd00007	O2	0
cpd00011	CO2	1000
cpd00013	NH3	1000
cpd00009	Phosphate	1000
cpd00048	Sulfate	1000
cpd00971	Na+	1000
cpd00205	K+	1000
cpd00254	Mg	1000
cpd00063	Ca2+	1000
cpd00099	Cl-	1000
cpd10515	Fe2+	1000
cpd10516	Fe3+	1000
cpd00030	Mn2+	1000
cpd00034	Zn2+	1000
cpd00058	Cu2+	1000
cpd00149	Co2+	1000
cpd00305	Thiamin	1
cpd00220	Riboflavin	1
cpd00133	Niacinamide	1
cpd00218	Nicotinate	1
cpd00644	Pantothenate	1
cpd00104	Biotin	1
cpd00041	L-Aspartate	2
cpd00033	Glycine	2
cpd00039	L-Lysine	2
cpd00060	L-Methionine	2
cpd00084	L-Cysteine	2
cpd00119	L-Histidine	2
